alpha,seed,algo,avg_reward,stability_error
1.0,47,EGP,-254.01829860876543,0.3957287428222618
1.0,47,FPRL,-212.54859366588855,0.44583388554459225
1.0,47,PPO,-55.39115904297977,0.5575865483057826
1.0,48,EGP,-153.7080424566333,0.500062899348942
1.0,48,FPRL,-207.79877834973377,0.4497768663077987
1.0,48,PPO,-99.82111582336562,0.5654471197393915
1.0,49,EGP,-278.1555006255253,0.3730624594184509
1.0,49,FPRL,-210.2387390568316,0.45609177832675274
1.0,49,PPO,-156.58641305782618,0.48820713871357346
1.0,50,EGP,-397.67987554752335,0.2100583038132252
1.0,50,FPRL,-217.06975611421515,0.4464676372156398
1.0,50,PPO,-165.94448651479462,0.5376180979487133
